year_month,Baby Care,Fragrance,Hair Care,Makeup,Skin Care,Wellness
2024-01,10.990473601837765,10.64685690236428,33.919588957620014,14.901952188265827,29.5411283499121,0.0
2024-02,9.128892659485274,7.6155425576194276,22.418395654861836,24.04369719114278,29.88446099865231,6.909010938238372
2024-03,9.849414971191294,16.206526678311263,21.13547847709924,12.45083575217238,24.941952438981417,15.415791682244404
2024-04,12.04673511084824,10.347197520834088,21.859241887508844,19.26272974644914,29.39640949434324,7.087686240016444
2024-05,6.8280058441053715,10.32618417682251,20.351048154913165,16.884085549088827,33.52317728934853,12.087498985721599
2024-06,7.0190205397920575,11.243309539363166,25.429324033307406,13.333393295120205,34.97109511374703,8.00385747867013
2024-07,6.247880322145351,25.533919522834005,16.81685787547748,16.956476528164007,25.962815058365518,8.482050693013651
2024-08,10.629212809698164,12.104307058850067,18.76475971373987,18.233310820462574,27.140743242170828,13.127666355078512
2024-09,8.740513995177102,14.074487039541022,21.784538693962972,14.427495753182903,33.29065296360055,7.682311554535446
2024-10,9.149585001101798,17.00135022714955,17.611755794852165,18.50472060758161,30.351398729730516,7.38118963958436
2024-11,9.782505711152908,20.729044899567082,20.643260189514233,17.248291204523877,24.175329347078353,7.421568648163568
2024-12,7.171277417131966,17.532061922033364,19.085091834060695,17.950145435626958,30.718875045298187,7.542548345848833
2025-01,8.281875473004693,12.715539882568027,15.893432157287654,18.72780308331492,33.618569349112796,10.762780054711905
2025-02,9.396411673162493,14.86905020896713,15.609443565231155,20.56990358491963,29.715216341859712,9.839974625859893
2025-03,10.691470551927376,11.037529242271184,16.46740317176057,18.571785974397674,34.82351238030035,8.40829867934284
2025-04,9.02767393085823,15.642451768823697,16.771943275414255,18.249482617331278,30.01279942219815,10.29564898537439
2025-05,11.151358509687462,11.334631877004089,21.985325159398894,18.811395786203597,28.002094700519297,8.715193967186659
2025-06,9.185803180043468,12.775596160655784,16.971738308799136,19.257313726102915,30.643842991398373,11.165705633000321
2025-07,10.486690740141155,13.254915001041534,17.55980222615769,17.333151077397115,32.3823395607129,8.983101394549601
2025-08,10.37222662886683,13.94331338249314,16.4155941369802,18.591659884673803,29.802213942734753,10.87499202425128
2025-09,9.884922349485201,13.342927341264618,18.82277422020374,17.365814897422048,31.30667057591692,9.276890615707458
2025-10,11.201458053365963,27.164445294809692,13.153325521958989,16.92275610049525,15.775763454829455,15.782251574540652
2025-11,11.283878789316383,23.01704625838007,13.751022369520035,18.848917977731418,17.72059542748714,15.378539177564932
